producto,categoria,proveedor,cantidad,precio_unitario,descuento,impuesto,fecha,canal_venta,pais,moneda
Altavoz Bluetooth,Electrónica,ElectroMax,3,288.91,28.44,60.67,2024-08-21,Distribuidor,Italia,EUR
Reloj Deportivo,Hogar,Distribuciones Europa,1,1902.87,254.38,399.6,2024-12-31,Distribuidor,España,EUR
TV 55,Electrónica,HomePlus,4,1196.99,123.7,251.37,2024-05-02,Tienda,Portugal,EUR
Impresora Laser,Moda,MegaStore,5,803.57,82.87,168.75,2024-01-03,Online,España,EUR
TV 55,Deportes,FashionCorp,4,884.32,56.96,185.71,2024-05-23,Tienda,Francia,EUR
Altavoz Bluetooth,Electrónica,TechCorp,1,497.54,70.74,104.48,2024-06-29,Distribuidor,Portugal,EUR
Teclado Mecánico,Electrónica,ProGear,2,1252.34,25.63,262.99,2024-09-16,Online,España,EUR
Monitor 32,Audio,TechCorp,4,98.88,1.21,20.76,2024-09-11,Online,Portugal,EUR
Ventilador Turbo,Video,SportWorld,4,319.21,24.21,67.03,2024-06-21,Distribuidor,Italia,EUR
Escritorio Oficina,Moda,FashionCorp,5,970.79,110.35,203.87,2024-10-11,Tienda,Alemania,EUR
Chaqueta Invierno,Hogar,Distribuciones Europa,3,936.21,139.83,196.6,2024-10-08,Distribuidor,Portugal,EUR
Plancha Vapor,Hogar,ProGear,4,989.07,32.53,207.7,2024-04-17,Tienda,Alemania,EUR
Reloj Deportivo,Electrónica,ProGear,4,70.58,9.03,14.82,2024-06-07,Distribuidor,España,EUR
Casco Bicicleta,Hogar,MegaStore,5,55.74,6.74,11.71,2024-03-14,Distribuidor,España,EUR
TV 55,Audio,MegaStore,4,345.63,4.38,72.58,2024-02-20,Online,España,EUR
Mochila Travel,Hogar,MegaStore,2,717.26,66.78,150.62,2024-10-31,Tienda,Francia,EUR
Lámpara LED,Accesorios,LogiTech,4,661.02,44.01,138.81,2024-03-11,Distribuidor,España,EUR
Colchoneta Yoga,Moda,MegaStore,4,1661.14,105.96,348.84,2024-09-08,Online,Alemania,EUR
Plancha Vapor,Accesorios,LogiTech,2,1315.02,9.25,276.15,2024-05-12,Online,Francia,EUR
Monitor 32,Deportes,TechCorp,2,973.74,75.07,204.49,2024-06-22,Tienda,Francia,EUR
Batidora Pro,Hogar,TechCorp,4,895.31,6.98,188.02,2024-09-04,Tienda,Italia,EUR
Teclado Mecánico,Audio,SportWorld,2,49.1,2.75,10.31,2024-04-30,Tienda,Italia,EUR
Chaqueta Invierno,Accesorios,TechCorp,3,914.78,3.79,192.1,2024-10-20,Online,España,EUR
Pantalón Trekking,Video,TechCorp,3,1432.38,14.45,300.8,2024-10-30,Online,Italia,EUR
TV 65,Electrónica,MegaStore,2,92.81,12.7,19.49,2024-04-25,Tienda,Portugal,EUR
Colchoneta Yoga,Deportes,ProGear,5,814.15,34.37,170.97,2024-01-22,Distribuidor,Italia,EUR
Smartwatch,Audio,LogiTech,3,1556.2,208.24,326.8,2024-03-16,Online,Francia,EUR
HDD 2TB,Electrónica,ProGear,1,746.77,101.5,156.82,2024-12-10,Distribuidor,Francia,EUR
Teclado Mecánico,Oficina,ElectroMax,1,2044.74,258.1,429.4,2024-12-01,Online,España,EUR
Smartphone X,Accesorios,MegaStore,2,2025.64,133.55,425.38,2024-11-29,Online,Alemania,EUR
Barra de Sonido,Moda,ProGear,3,831.32,101.42,174.58,2024-08-22,Online,Italia,EUR
Lámpara LED,Video,HomePlus,4,254.22,2.48,53.39,2024-09-01,Distribuidor,Portugal,EUR
Cafetera Automática,Video,FashionCorp,1,841.9,106.82,176.8,2024-08-15,Online,Francia,EUR
SSD 1TB,Audio,ProGear,2,107.84,10.77,22.65,2024-01-31,Distribuidor,España,EUR
Tostadora,Moda,TechCorp,5,884.57,59.65,185.76,2024-08-26,Tienda,Italia,EUR
Chaqueta Invierno,Electrónica,SportWorld,2,792.55,47.15,166.44,2024-03-24,Distribuidor,Alemania,EUR
Escritorio Oficina,Hogar,TechCorp,1,2062.17,46.86,433.06,2024-12-06,Distribuidor,Italia,EUR
Aspiradora Robot,Audio,ElectroMax,2,295.59,0.18,62.07,2024-06-11,Distribuidor,Francia,EUR
Casco Bicicleta,Moda,GlobalTech,2,907.95,11.93,190.67,2024-11-01,Distribuidor,Francia,EUR
Guantes Gym,Moda,TechCorp,4,1706.98,72.74,358.47,2024-01-01,Online,Francia,EUR
Auriculares Bluetooth,Moda,FashionCorp,3,951.78,101.72,199.87,2024-11-16,Online,Portugal,EUR
Webcam FullHD,Electrónica,MegaStore,4,1846.27,29.84,387.72,2024-11-14,Tienda,Francia,EUR
TV 65,Accesorios,HomePlus,3,1444.02,192.09,303.24,2024-11-16,Distribuidor,Portugal,EUR
Barra de Sonido,Electrónica,FashionCorp,2,938.92,62.15,197.17,2024-03-03,Tienda,Francia,EUR
Ventilador Turbo,Deportes,TechCorp,3,1357.27,75.4,285.03,2024-05-29,Distribuidor,Francia,EUR
Gafas Sol,Moda,SportWorld,2,217.42,2.92,45.66,2024-02-12,Tienda,Francia,EUR
Webcam FullHD,Moda,ProGear,5,1724.41,156.52,362.13,2024-12-11,Online,España,EUR
Monitor 32,Deportes,Distribuciones Europa,1,479.23,40.24,100.64,2024-03-15,Distribuidor,Francia,EUR
Barra de Sonido,Video,FashionCorp,3,1080.87,102.54,226.98,2024-02-16,Tienda,Italia,EUR
Teclado Mecánico,Moda,MegaStore,2,645.34,79.22,135.52,2024-08-19,Tienda,Portugal,EUR
Altavoz Bluetooth,Accesorios,HomePlus,2,708.12,52.44,148.71,2024-06-08,Tienda,Francia,EUR
Monitor 27,Hogar,GlobalTech,2,1611.02,168.15,338.31,2024-09-09,Tienda,Portugal,EUR
Plancha Vapor,Hogar,ElectroMax,5,615.4,41.76,129.23,2024-06-16,Online,Francia,EUR
Zapatillas Running,Audio,MegaStore,3,992.88,40.94,208.5,2024-08-11,Online,España,EUR
Casco Bicicleta,Hogar,ProGear,3,958.96,32.29,201.38,2024-11-01,Distribuidor,Alemania,EUR
Silla Gamer,Video,MegaStore,5,27.56,3.86,5.79,2024-05-10,Online,Italia,EUR
Tablet Plus,Electrónica,Distribuciones Europa,3,643.8,41.13,135.2,2024-11-30,Distribuidor,Italia,EUR
Set Mancuernas,Electrónica,ProGear,5,891.21,37.65,187.15,2024-05-27,Distribuidor,Italia,EUR
Tablet Plus,Accesorios,LogiTech,1,207.53,23.28,43.58,2024-03-11,Tienda,Portugal,EUR
TV 55,Moda,GlobalTech,1,906.81,31.62,190.43,2024-07-04,Tienda,Alemania,EUR
Barra de Sonido,Hogar,MegaStore,2,29.48,3.79,6.19,2024-04-01,Online,Francia,EUR
Pantalón Trekking,Video,MegaStore,2,447.06,57.54,93.88,2024-11-19,Online,Alemania,EUR
Mouse Gamer,Moda,FashionCorp,5,643.66,34.47,135.17,2024-12-09,Tienda,Italia,EUR
PowerBank 20k,Oficina,FashionCorp,3,899.82,94.36,188.96,2024-02-18,Tienda,Francia,EUR
Tablet Plus,Hogar,TechCorp,3,644.79,47.27,135.41,2024-11-27,Distribuidor,España,EUR
Laptop Air,Audio,HomePlus,1,311.64,39.52,65.44,2024-09-30,Distribuidor,España,EUR
Cámara HD,Video,MegaStore,4,839.26,125.46,176.24,2024-08-18,Online,España,EUR
Monitor 27,Oficina,FashionCorp,5,1578.18,99.95,331.42,2024-09-27,Tienda,Italia,EUR
Laptop Air,Electrónica,FashionCorp,4,239.62,15.7,50.32,2024-06-20,Distribuidor,Francia,EUR
Guantes Gym,Electrónica,FashionCorp,2,544.67,50.89,114.38,2024-08-26,Distribuidor,Alemania,EUR
Casco Bicicleta,Deportes,MegaStore,3,1039.38,63.41,218.27,2024-05-29,Distribuidor,Alemania,EUR
Memoria RAM 16GB,Accesorios,MegaStore,4,758.48,99.27,159.28,2024-08-19,Tienda,Francia,EUR
Aspiradora Robot,Hogar,LogiTech,2,963.83,72.73,202.4,2024-10-13,Distribuidor,Alemania,EUR
Plancha Vapor,Audio,ProGear,1,327.52,17.16,68.78,2024-08-25,Tienda,España,EUR
Refrigerador Mini,Moda,GlobalTech,5,1323.92,48.03,278.02,2024-03-18,Tienda,España,EUR
Barra de Sonido,Video,FashionCorp,5,834.4,54.76,175.22,2024-12-08,Tienda,Alemania,EUR
Tostadora,Audio,HomePlus,3,861.01,98.99,180.81,2024-03-30,Tienda,Portugal,EUR
Smartphone X,Electrónica,TechCorp,5,1084.09,109.44,227.66,2024-03-28,Online,Alemania,EUR
Ventilador Turbo,Audio,SportWorld,2,570.36,69.08,119.78,2024-05-24,Online,Francia,EUR
Lámpara LED,Oficina,HomePlus,1,305.53,10.07,64.16,2024-01-07,Distribuidor,Francia,EUR
Router WiFi,Accesorios,TechCorp,1,691.29,82.37,145.17,2024-06-17,Tienda,Italia,EUR
Aspiradora Robot,Video,HomePlus,4,51.45,4.02,10.8,2024-06-25,Tienda,Francia,EUR
Chaqueta Invierno,Audio,GlobalTech,5,622.79,40.15,130.79,2024-07-26,Online,Italia,EUR
Aspiradora Robot,Oficina,LogiTech,4,537.96,36.79,112.97,2024-08-29,Tienda,España,EUR
Barra de Sonido,Video,GlobalTech,1,890.38,54.04,186.98,2024-03-30,Online,Alemania,EUR
Altavoz Bluetooth,Electrónica,ElectroMax,4,910.91,74.89,191.29,2024-05-06,Tienda,Portugal,EUR
Laptop Pro,Deportes,ElectroMax,4,351.78,34.56,73.87,2024-12-31,Tienda,Portugal,EUR
Microfono Pro,Electrónica,MegaStore,2,916.63,117.48,192.49,2024-05-11,Distribuidor,Portugal,EUR
Batidora Pro,Electrónica,Distribuciones Europa,1,1301.47,14.69,273.31,2024-02-29,Distribuidor,Portugal,EUR
TV 55,Electrónica,MegaStore,4,414.57,54.92,87.06,2024-06-08,Online,Alemania,EUR
Casco Bicicleta,Oficina,SportWorld,5,10.86,0.47,2.28,2024-02-18,Tienda,Alemania,EUR
Router WiFi,Hogar,GlobalTech,5,151.95,8.62,31.91,2024-06-23,Tienda,Alemania,EUR
Refrigerador Mini,Hogar,HomePlus,4,210.0,17.38,44.1,2024-02-12,Online,España,EUR
Batidora Pro,Accesorios,SportWorld,5,1231.5,150.89,258.62,2024-10-26,Online,Italia,EUR
Casco Bicicleta,Oficina,SportWorld,5,904.35,66.21,189.91,2024-09-24,Tienda,Portugal,EUR
Guantes Gym,Hogar,ProGear,1,1358.13,8.98,285.21,2024-10-03,Tienda,España,EUR
TV 55,Accesorios,HomePlus,3,329.57,13.87,69.21,2024-10-20,Online,España,EUR
TV 65,Moda,LogiTech,2,2037.31,273.43,427.84,2024-12-09,Distribuidor,Portugal,EUR
Laptop Pro,Deportes,ProGear,3,1239.87,156.56,260.37,2024-05-22,Tienda,Alemania,EUR
Cámara HD,Electrónica,GlobalTech,4,1808.49,19.66,379.78,2024-12-17,Distribuidor,España,EUR
Gafas Sol,Oficina,GlobalTech,3,802.22,98.76,168.47,2024-05-23,Distribuidor,Alemania,EUR
Memoria RAM 16GB,Deportes,LogiTech,1,1293.0,12.13,271.53,2024-02-01,Tienda,Italia,EUR
Cargador USB-C,Moda,ProGear,5,192.52,1.59,40.43,2024-08-03,Distribuidor,Alemania,EUR
Aspiradora Robot,Moda,SportWorld,2,441.9,65.65,92.8,2024-05-08,Distribuidor,Alemania,EUR
Altavoz Bluetooth,Accesorios,HomePlus,3,306.71,15.11,64.41,2024-07-29,Tienda,Francia,EUR
Monitor 32,Deportes,HomePlus,2,409.63,5.3,86.02,2024-09-30,Online,Alemania,EUR
Lámpara LED,Deportes,MegaStore,1,764.97,81.17,160.64,2024-06-06,Distribuidor,Francia,EUR
Barra de Sonido,Deportes,GlobalTech,4,1390.68,142.49,292.04,2024-12-31,Tienda,Francia,EUR
Refrigerador Mini,Hogar,Distribuciones Europa,5,259.67,27.85,54.53,2024-12-21,Distribuidor,España,EUR
Impresora Laser,Electrónica,LogiTech,1,1382.66,6.59,290.36,2024-02-23,Distribuidor,Portugal,EUR
Zapatillas Running,Electrónica,ElectroMax,5,1606.62,200.51,337.39,2024-01-15,Distribuidor,Francia,EUR
Ventilador Turbo,Electrónica,SportWorld,1,706.83,87.06,148.43,2024-08-29,Online,Francia,EUR
Pantalón Trekking,Hogar,Distribuciones Europa,4,758.79,55.69,159.35,2024-09-28,Distribuidor,Alemania,EUR
Pelota Fitness,Electrónica,ElectroMax,1,56.59,1.26,11.88,2024-08-11,Distribuidor,Italia,EUR
Casco Bicicleta,Electrónica,SportWorld,1,319.91,42.2,67.18,2024-05-26,Online,Alemania,EUR
Memoria RAM 16GB,Hogar,LogiTech,2,1212.42,87.5,254.61,2024-06-25,Online,Portugal,EUR
Smartphone Mini,Moda,MegaStore,5,1234.44,171.22,259.23,2024-12-25,Distribuidor,España,EUR
Barra de Sonido,Moda,FashionCorp,4,537.61,30.54,112.9,2024-02-02,Tienda,Alemania,EUR
Set Mancuernas,Oficina,TechCorp,4,869.71,121.79,182.64,2024-10-12,Online,Italia,EUR
Escritorio Oficina,Deportes,ElectroMax,3,236.25,7.24,49.61,2024-05-28,Distribuidor,Francia,EUR
Memoria RAM 16GB,Audio,SportWorld,3,1142.42,71.57,239.91,2024-04-22,Tienda,Italia,EUR
Smartwatch,Accesorios,TechCorp,1,1505.52,189.38,316.16,2024-12-18,Online,Italia,EUR
Smartphone X,Accesorios,Distribuciones Europa,1,1292.64,10.89,271.45,2024-04-25,Tienda,Italia,EUR
TV 65,Oficina,ElectroMax,4,820.0,23.38,172.2,2024-08-19,Tienda,Italia,EUR
Aspiradora Robot,Oficina,ElectroMax,4,812.48,76.29,170.62,2024-03-06,Online,Francia,EUR
Impresora Laser,Moda,TechCorp,1,690.06,101.07,144.91,2024-10-14,Distribuidor,Francia,EUR
Proyector HD,Deportes,ElectroMax,1,1306.66,89.87,274.4,2024-03-24,Distribuidor,Francia,EUR
Smartwatch,Video,ElectroMax,1,261.29,12.57,54.87,2024-05-15,Tienda,Portugal,EUR
Monitor 32,Deportes,HomePlus,3,857.4,3.29,180.05,2024-06-29,Distribuidor,Francia,EUR
Casco Bicicleta,Video,ProGear,4,48.68,0.74,10.22,2024-07-01,Online,Portugal,EUR
Microfono Pro,Accesorios,Distribuciones Europa,2,1242.08,61.95,260.84,2024-04-17,Distribuidor,Francia,EUR
Cámara HD,Deportes,Distribuciones Europa,2,184.43,1.85,38.73,2024-04-10,Online,España,EUR
Mochila Travel,Deportes,GlobalTech,2,559.29,41.24,117.45,2024-11-17,Tienda,España,EUR
Mouse Gamer,Audio,SportWorld,4,357.24,30.87,75.02,2024-06-01,Online,Alemania,EUR
Router WiFi,Accesorios,ProGear,5,1308.16,158.31,274.71,2024-05-24,Distribuidor,Portugal,EUR
Cafetera Automática,Accesorios,TechCorp,2,742.51,37.48,155.93,2024-04-22,Online,Italia,EUR
Webcam FullHD,Hogar,TechCorp,5,1260.71,130.49,264.75,2024-08-23,Distribuidor,Portugal,EUR
Auriculares Bluetooth,Moda,FashionCorp,3,808.46,47.28,169.78,2024-07-25,Online,Alemania,EUR
Altavoz Bluetooth,Accesorios,ProGear,1,1019.8,14.9,214.16,2024-05-06,Distribuidor,Francia,EUR
TV 55,Hogar,GlobalTech,4,486.45,71.53,102.15,2024-08-10,Online,España,EUR
Batidora Pro,Accesorios,ProGear,1,281.49,14.75,59.11,2024-03-14,Tienda,Italia,EUR
Monitor 27,Deportes,GlobalTech,1,635.91,81.94,133.54,2024-05-23,Distribuidor,Francia,EUR
Zapatillas Running,Accesorios,HomePlus,2,857.99,26.08,180.18,2024-09-26,Tienda,Alemania,EUR
Barra de Sonido,Hogar,LogiTech,3,310.58,41.65,65.22,2024-09-05,Online,Francia,EUR
Mochila Travel,Audio,SportWorld,5,880.89,84.38,184.99,2024-06-02,Distribuidor,Alemania,EUR
TV 55,Moda,FashionCorp,4,935.95,82.46,196.55,2024-10-18,Online,Portugal,EUR
Mochila Travel,Video,Distribuciones Europa,4,1363.14,18.66,286.26,2024-09-08,Online,España,EUR
Plancha Vapor,Video,ProGear,2,1101.98,89.32,231.42,2024-03-29,Online,Italia,EUR
Pantalón Trekking,Electrónica,Distribuciones Europa,5,473.33,29.53,99.4,2024-10-03,Online,Francia,EUR
Microfono Pro,Video,HomePlus,3,346.86,49.72,72.84,2024-07-28,Tienda,Alemania,EUR
Guantes Gym,Moda,Distribuciones Europa,5,250.3,26.48,52.56,2024-01-25,Distribuidor,Alemania,EUR
Monitor 32,Video,TechCorp,3,1356.03,150.73,284.77,2024-09-25,Distribuidor,España,EUR
Drone Mini,Oficina,TechCorp,5,1261.22,58.31,264.86,2024-01-06,Online,Francia,EUR
SSD 1TB,Deportes,MegaStore,1,952.51,5.45,200.03,2024-06-29,Online,Portugal,EUR
Gafas Sol,Oficina,GlobalTech,3,2038.48,119.36,428.08,2024-12-16,Distribuidor,Italia,EUR
SSD 1TB,Oficina,FashionCorp,2,62.98,4.38,13.23,2024-11-18,Online,Portugal,EUR
Reloj Deportivo,Moda,GlobalTech,1,287.88,1.79,60.45,2024-08-19,Tienda,Italia,EUR
Smartwatch,Audio,FashionCorp,5,660.95,26.02,138.8,2024-04-12,Online,España,EUR
Barra de Sonido,Video,GlobalTech,1,340.79,43.8,71.57,2024-10-16,Tienda,Portugal,EUR
Cargador USB-C,Accesorios,ProGear,4,883.41,68.47,185.52,2024-03-15,Online,Francia,EUR
Tablet Plus,Video,FashionCorp,5,1425.68,161.74,299.39,2024-11-08,Tienda,Italia,EUR
Impresora Laser,Oficina,LogiTech,5,1174.11,18.32,246.56,2024-12-09,Online,Italia,EUR
Set Mancuernas,Audio,LogiTech,5,646.35,10.05,135.73,2024-09-12,Online,Portugal,EUR
Monitor 27,Electrónica,MegaStore,2,483.0,33.19,101.43,2024-11-17,Tienda,España,EUR
Tablet Plus,Moda,ProGear,4,145.94,3.89,30.65,2024-07-13,Tienda,España,EUR
Reloj Deportivo,Moda,FashionCorp,1,924.1,47.37,194.06,2024-08-02,Distribuidor,Francia,EUR
Altavoz Bluetooth,Accesorios,TechCorp,5,342.94,36.94,72.02,2024-09-04,Distribuidor,Italia,EUR
Plancha Vapor,Moda,HomePlus,3,1446.14,149.84,303.69,2024-12-14,Tienda,Alemania,EUR
Altavoz Bluetooth,Deportes,ProGear,2,856.02,29.17,179.76,2024-02-10,Tienda,Portugal,EUR
Mochila Travel,Moda,LogiTech,2,610.41,31.79,128.19,2024-12-07,Tienda,Italia,EUR
Webcam FullHD,Moda,MegaStore,3,24.43,1.32,5.13,2024-12-14,Tienda,Francia,EUR
Auriculares Bluetooth,Oficina,SportWorld,2,731.06,47.14,153.52,2024-05-23,Distribuidor,España,EUR
Altavoz Bluetooth,Accesorios,ElectroMax,2,264.77,2.29,55.6,2024-01-01,Tienda,España,EUR
TV 55,Oficina,GlobalTech,2,462.02,51.08,97.02,2024-05-27,Online,Italia,EUR
Pantalón Trekking,Hogar,LogiTech,5,756.01,8.9,158.76,2024-01-31,Tienda,Alemania,EUR
Escritorio Oficina,Hogar,FashionCorp,5,1087.75,144.82,228.43,2024-06-28,Online,Alemania,EUR
TV 55,Deportes,TechCorp,3,1882.56,185.76,395.34,2024-01-16,Online,España,EUR
Casco Bicicleta,Moda,FashionCorp,5,1065.54,141.75,223.76,2024-11-08,Distribuidor,Alemania,EUR
Lámpara LED,Electrónica,GlobalTech,5,1029.24,5.01,216.14,2024-02-12,Online,Francia,EUR
Batidora Pro,Moda,Distribuciones Europa,5,886.28,60.12,186.12,2024-06-22,Distribuidor,España,EUR
Impresora Laser,Hogar,Distribuciones Europa,2,404.21,24.33,84.88,2024-06-24,Tienda,Italia,EUR
Mochila Travel,Deportes,Distribuciones Europa,1,962.51,89.4,202.13,2024-07-29,Distribuidor,Francia,EUR
Guantes Gym,Electrónica,LogiTech,3,787.72,100.33,165.42,2024-12-15,Distribuidor,Alemania,EUR
Silla Gamer,Accesorios,GlobalTech,1,1032.47,136.96,216.82,2024-03-20,Online,Italia,EUR
Pantalón Trekking,Oficina,MegaStore,4,579.59,53.91,121.71,2024-10-31,Tienda,Alemania,EUR
Colchoneta Yoga,Oficina,Distribuciones Europa,1,1074.37,85.87,225.62,2024-10-01,Tienda,Francia,EUR
Teclado Mecánico,Hogar,HomePlus,1,314.07,28.56,65.95,2024-10-13,Online,Portugal,EUR
Smartwatch,Deportes,LogiTech,4,365.39,34.06,76.73,2024-04-30,Online,Italia,EUR
Tablet Plus,Oficina,LogiTech,3,1593.81,143.4,334.7,2024-01-08,Distribuidor,Alemania,EUR
Tablet Plus,Electrónica,FashionCorp,5,1677.18,9.83,352.21,2024-11-04,Tienda,Alemania,EUR
Colchoneta Yoga,Audio,ProGear,2,352.15,16.02,73.95,2024-10-09,Online,Francia,EUR
Memoria RAM 16GB,Hogar,SportWorld,2,889.18,28.42,186.73,2024-06-14,Online,Portugal,EUR
Auriculares Bluetooth,Hogar,SportWorld,5,1514.6,101.68,318.07,2024-12-03,Online,España,EUR
SSD 1TB,Electrónica,TechCorp,3,280.48,30.56,58.9,2024-02-16,Online,Portugal,EUR
Gafas Sol,Moda,GlobalTech,4,752.51,45.05,158.03,2024-05-31,Distribuidor,Italia,EUR
Chaqueta Invierno,Deportes,ProGear,3,795.02,98.11,166.95,2024-10-07,Distribuidor,Portugal,EUR
PowerBank 20k,Moda,FashionCorp,2,136.22,7.44,28.61,2024-09-07,Distribuidor,Alemania,EUR
Monitor 27,Hogar,FashionCorp,3,694.0,3.47,145.74,2024-08-23,Online,Italia,EUR
SSD 1TB,Moda,FashionCorp,3,252.19,14.27,52.96,2024-08-19,Tienda,España,EUR
Memoria RAM 16GB,Electrónica,LogiTech,2,513.41,59.34,107.82,2024-09-24,Tienda,España,EUR
Smartphone Mini,Oficina,Distribuciones Europa,2,8.7,0.45,1.83,2024-08-23,Online,Italia,EUR
SSD 1TB,Video,TechCorp,4,240.11,10.43,50.42,2024-01-12,Distribuidor,Francia,EUR
Altavoz Bluetooth,Audio,SportWorld,5,315.46,46.99,66.25,2024-07-25,Tienda,Alemania,EUR
Microfono Pro,Video,HomePlus,2,565.24,46.12,118.7,2024-05-12,Distribuidor,España,EUR
Smartphone X,Video,LogiTech,3,127.13,11.03,26.7,2024-01-20,Online,Francia,EUR
Smartphone Mini,Audio,FashionCorp,5,248.91,21.02,52.27,2024-07-10,Tienda,Italia,EUR
HDD 2TB,Video,HomePlus,3,415.04,40.54,87.16,2024-01-25,Tienda,Italia,EUR
Proyector HD,Deportes,Distribuciones Europa,1,1496.3,154.64,314.22,2024-05-30,Online,Francia,EUR
Altavoz Bluetooth,Hogar,ProGear,4,286.97,40.28,60.26,2024-10-05,Tienda,Francia,EUR
Cafetera Automática,Moda,LogiTech,3,1400.92,12.65,294.19,2024-04-17,Online,Francia,EUR
Altavoz Bluetooth,Hogar,FashionCorp,5,549.65,16.88,115.43,2024-01-26,Distribuidor,Portugal,EUR
Drone Mini,Accesorios,LogiTech,4,674.22,34.36,141.59,2024-11-16,Tienda,Francia,EUR
Escritorio Oficina,Video,ProGear,3,871.11,62.85,182.93,2024-09-11,Tienda,Portugal,EUR
Tablet Plus,Accesorios,LogiTech,5,438.97,48.6,92.18,2024-06-20,Online,Portugal,EUR
Drone Mini,Audio,ProGear,5,1398.99,29.38,293.79,2024-11-22,Distribuidor,Portugal,EUR
PowerBank 20k,Oficina,Distribuciones Europa,3,1171.28,134.89,245.97,2024-02-06,Distribuidor,España,EUR
Zapatillas Running,Accesorios,SportWorld,4,1262.16,154.37,265.05,2024-08-20,Distribuidor,España,EUR
Auriculares Bluetooth,Audio,MegaStore,2,725.63,52.75,152.38,2024-07-05,Tienda,Portugal,EUR
Cafetera Automática,Audio,ElectroMax,1,1058.4,54.58,222.26,2024-04-18,Distribuidor,Alemania,EUR
Laptop Pro,Deportes,FashionCorp,4,18.51,0.12,3.89,2024-05-24,Distribuidor,Francia,EUR
Pantalón Trekking,Accesorios,Distribuciones Europa,1,1258.41,40.57,264.27,2024-03-25,Online,Francia,EUR
Impresora Laser,Deportes,LogiTech,2,264.52,13.4,55.55,2024-09-27,Online,Francia,EUR
Refrigerador Mini,Accesorios,MegaStore,4,991.0,21.54,208.11,2024-08-16,Distribuidor,Portugal,EUR
Teclado Mecánico,Video,HomePlus,4,514.45,45.94,108.03,2024-08-01,Distribuidor,Alemania,EUR
Smartphone X,Electrónica,SportWorld,4,1827.66,200.49,383.81,2024-12-17,Online,España,EUR
Zapatillas Running,Electrónica,FashionCorp,4,475.18,25.93,99.79,2024-10-17,Tienda,Francia,EUR
Casco Bicicleta,Audio,HomePlus,5,1180.52,125.7,247.91,2024-02-13,Online,Portugal,EUR
Drone Mini,Accesorios,Distribuciones Europa,3,506.1,58.83,106.28,2024-03-24,Online,Portugal,EUR
HDD 2TB,Audio,ElectroMax,1,113.13,8.63,23.76,2024-05-30,Tienda,España,EUR
Teclado Mecánico,Oficina,SportWorld,3,20.86,2.16,4.38,2024-06-20,Tienda,Francia,EUR
Webcam FullHD,Video,HomePlus,3,1311.08,1.12,275.33,2024-02-03,Online,Italia,EUR
Mouse Gamer,Deportes,GlobalTech,2,874.11,99.99,183.56,2024-11-03,Distribuidor,Italia,EUR
Barra de Sonido,Moda,SportWorld,5,491.59,50.28,103.23,2024-02-12,Tienda,Italia,EUR
Memoria RAM 16GB,Oficina,GlobalTech,4,899.52,78.15,188.9,2024-07-20,Tienda,España,EUR
Laptop Air,Audio,ElectroMax,1,1139.92,74.84,239.38,2024-06-12,Online,Francia,EUR
Smartphone X,Oficina,HomePlus,3,131.24,6.44,27.56,2024-01-20,Distribuidor,Francia,EUR
Laptop Air,Deportes,ElectroMax,1,803.66,60.1,168.77,2024-04-21,Distribuidor,Italia,EUR
Teclado Mecánico,Video,HomePlus,3,1376.58,54.45,289.08,2024-02-22,Distribuidor,Portugal,EUR
Escritorio Oficina,Audio,LogiTech,5,316.86,11.39,66.54,2024-11-08,Online,Alemania,EUR
Laptop Air,Deportes,ElectroMax,4,371.98,4.59,78.12,2024-03-21,Distribuidor,Alemania,EUR
Guantes Gym,Accesorios,SportWorld,4,647.01,67.26,135.87,2024-03-26,Tienda,España,EUR
Impresora Laser,Audio,TechCorp,3,606.35,56.44,127.33,2024-09-14,Online,Italia,EUR
Set Mancuernas,Moda,LogiTech,5,549.68,66.18,115.43,2024-12-11,Online,Italia,EUR
Pantalón Trekking,Video,HomePlus,1,395.99,10.94,83.16,2024-01-08,Online,Portugal,EUR
Casco Bicicleta,Hogar,ProGear,3,703.31,30.77,147.7,2024-08-12,Online,España,EUR
Colchoneta Yoga,Hogar,HomePlus,4,526.05,33.35,110.47,2024-10-26,Tienda,Alemania,EUR
Batidora Pro,Accesorios,ProGear,3,1902.18,136.65,399.46,2024-11-20,Distribuidor,España,EUR
Lámpara LED,Oficina,ElectroMax,1,519.85,9.78,109.17,2024-04-11,Distribuidor,Francia,EUR
Teclado Mecánico,Oficina,FashionCorp,3,199.53,6.28,41.9,2024-05-08,Online,Portugal,EUR
Cámara HD,Accesorios,MegaStore,3,311.42,17.38,65.4,2024-03-06,Online,España,EUR
Batidora Pro,Audio,Distribuciones Europa,4,29.55,1.37,6.21,2024-09-09,Tienda,Alemania,EUR
PowerBank 20k,Electrónica,LogiTech,5,818.94,73.24,171.98,2024-06-03,Tienda,Alemania,EUR
Barra de Sonido,Electrónica,GlobalTech,1,1133.35,120.36,238.0,2024-06-21,Tienda,Francia,EUR
Cargador USB-C,Accesorios,MegaStore,3,749.39,87.69,157.37,2024-07-18,Tienda,Alemania,EUR
Monitor 32,Moda,LogiTech,1,381.84,25.79,80.19,2024-08-10,Tienda,Francia,EUR
Monitor 27,Oficina,GlobalTech,3,164.7,6.09,34.59,2024-10-06,Distribuidor,Italia,EUR
